SITE ID,SITE,Longitude,Latitude
湖州南鹿山,浙江省湖州市吴兴区湖州南互通,120.07789,30.820453
青山,浙江省湖州市吴兴区青山互通,120.063715,30.698995
织里,浙江省湖州市吴兴区织里互通,120.284042,30.893524
煤山南,浙江省湖州市长兴县,119.667529,31.062785
煤山北,浙江省湖州市长兴县,119.690619,31.129279
长兴,浙江省湖州市长兴县,119.954813,31.031433
长兴南,浙江省湖州市长兴县,119.958864,30.991867
浙皖主线,浙江省湖州市长兴县G50(沪渝高速),119.582331,30.9245
林城,浙江省湖州市长兴县林城互通,119.781647,30.947391
泗安北,浙江省湖州市长兴县泗安北互通,119.678317,30.953377
泗安,浙江省湖州市长兴县泗安互通,119.654465,30.913948
长兴北,浙江省湖州市长兴县长兴北互通,119.949091,31.114372
长兴西,浙江省湖州市长兴县长兴西互通,119.860725,30.975609
许村,浙江省嘉兴市海宁市,120.3686,30.425474
胡家兜,浙江省嘉兴市海宁市,120.457963,30.409017
盐官,浙江省嘉兴市海宁市,120.555627,30.421194
尖山,浙江省嘉兴市海宁市,120.790695,30.313479
袁花,浙江省嘉兴市海宁市海基路,120.797226,30.405745
海宁南,浙江省嘉兴市海宁市海宁互通,120.682641,30.42608
硖石,浙江省嘉兴市海宁市硖尖北线,120.767782,30.492711
长安,浙江省嘉兴市海宁市长安互通,120.441138,30.480751
长安付,浙江省嘉兴市海宁市长安互通,120.442855,30.476371
百步,浙江省嘉兴市海盐县,120.764905,30.561917
海盐,浙江省嘉兴市海盐县,120.944144,30.581951
海天一洲,浙江省嘉兴市海盐县杭州湾跨海大桥,121.135294,30.466124
西塘桥,浙江省嘉兴市海盐县嘉兴港区互通,121.032025,30.61027
南北湖,浙江省嘉兴市海盐县南北湖互通,120.872675,30.51358
姚庄,浙江省嘉兴市嘉善县,120.982735,30.940432
浙沪主线,浙江省嘉兴市嘉善县G60(杭州湾环线高速),120.959014,30.806097
浙沪北主线,浙江省嘉兴市嘉善县S12(申嘉湖高速),120.988754,30.945732
天凝,浙江省嘉兴市嘉善县干洪线,120.854358,30.888068
嘉善,浙江省嘉兴市嘉善县嘉善互通,120.956118,30.806114
嘉善付,浙江省嘉兴市嘉善县嘉善互通,120.95717,30.802686
西塘,浙江省嘉兴市嘉善县西塘立交,120.911814,30.924148
南湖(嘉兴南),浙江省嘉兴市南湖区,120.768597,30.688932
余新,浙江省嘉兴市南湖区,120.818986,30.66175
凤桥,浙江省嘉兴市南湖区,120.935538,30.639323
嘉兴东,浙江省嘉兴市南湖区嘉兴互通,120.872243,30.746872
马家浜,浙江省嘉兴市南湖区马家浜互通,120.713351,30.722274
独山,浙江省嘉兴市平湖市独山港西互通,121.155785,30.690725
平湖,浙江省嘉兴市平湖市平湖立交,120.988522,30.683765
新仓,浙江省嘉兴市平湖市新仓互通立交桥,121.226221,30.723894
乍浦,浙江省嘉兴市平湖市乍浦互通,121.051393,30.651607
桐乡付,浙江省嘉兴市桐乡市,120.551195,30.534125
濮院,浙江省嘉兴市桐乡市,120.554558,30.744779
桐乡,浙江省嘉兴市桐乡市,120.558762,30.538918
桐乡西,浙江省嘉兴市桐乡市河道线,120.344399,30.620944
屠甸付,浙江省嘉兴市桐乡市屠甸立交桥,120.643227,30.58338
屠甸,浙江省嘉兴市桐乡市屠甸立交桥,120.644047,30.583068
乌镇,浙江省嘉兴市桐乡市乌镇互通立交桥,120.512993,30.718496
新塍,浙江省嘉兴市秀洲区,120.603174,30.82098
油车港,浙江省嘉兴市秀洲区,120.766504,30.857619
王江泾主线,浙江省嘉兴市秀洲区G15W(常台高速),120.677598,30.869962
王店东,浙江省嘉兴市秀洲区王店东互通,120.752454,30.617801
王店付,浙江省嘉兴市秀洲区王店互通,120.715949,30.645582
王店,浙江省嘉兴市秀洲区王店互通,120.716118,30.649184
王江泾(嘉兴北),浙江省嘉兴市秀洲区王江泾互通,120.718463,30.838262
秀州(嘉兴西)付,浙江省嘉兴市秀洲区秀洲互通,120.689813,30.759222
秀州(嘉兴西),浙江省嘉兴市秀洲区秀洲互通,120.689917,30.759189
东阳,浙江省金华市东阳市,120.272039,29.315656
千祥,浙江省金华市东阳市,120.309707,29.049734
怀鲁,浙江省金华市东阳市,120.380324,29.349428
湖溪,浙江省金华市东阳市,120.391488,29.209633
歌山,浙江省金华市东阳市,120.404127,29.273533
蔡宅,浙江省金华市东阳市,120.464269,29.391677
横店,浙江省金华市东阳市横店互通,120.385748,29.16432
马宅,浙江省金华市东阳市马宅互通,120.369758,29.086814
金华东,浙江省金华市金东区,119.723248,29.163358
傅村,浙江省金华市金东区傅村互通,119.884646,29.236814
