Name,Importance,lng,lat
萧山,2.998091186,120.297211,30.248535
象山,2.994024566,121.819956,29.481338
於潜,2.954983534,119.403019,30.184118
良渚,2.901096232,120.071891,30.397998
遂昌,2.883084955,119.282925,28.633107
王江泾(嘉兴北),2.850390487,120.718463,30.838262
徐村,2.845588508,120.06499,29.255394
望道,2.832387498,119.961006,29.302736
塘下,2.82927773,120.675109,27.855338
硖石,2.826055482,120.767782,30.492711
长兴西,2.783763084,119.860725,30.975609
青田,2.724528452,120.278616,28.173656
沙河,2.70716553,121.612887,29.999949
兰亭,2.663989465,120.518275,29.918375
乐成,2.621525724,120.975153,28.089941
枫桥南,2.616552275,120.405326,29.773064
灵溪,2.589646044,119.177663,28.858282
坎红路付,2.587901006,120.403087,30.224175
蒲歧,2.584509736,121.057492,28.173953
咸祥,2.549611227,121.787527,29.661926
龙岗,2.531159799,119.148,30.171714
上溪,2.528294696,119.933406,29.283721
甘霖,2.502646711,120.74136,29.527402
温州北,2.466675215,120.71866,28.079019
仰义,2.465527879,120.584723,28.08139
桐庐,2.449903994,119.724342,29.779777
秀州(嘉兴西)付,2.432795576,120.689813,30.759222
松阳,2.400433904,119.474166,28.432989
湖州(环渚),2.383477881,120.169221,30.917191
傅村,2.381006449,119.884646,29.236814
平水,2.362174955,120.648152,29.939039
寿昌,2.335196697,119.248269,29.40528
龙游,2.32359044,119.188208,29.083249
磐安,2.318849554,120.431463,28.979995
新安江,2.306677199,119.340031,29.522537
桥头,2.262227891,120.49262,28.153588
乌镇,2.258940928,120.512993,30.718496
灵桥,2.254776851,120.039757,30.023066
象山北,2.222332489,121.824923,29.578073
船寮,2.17526323,120.210785,28.267268
新仓,2.17488859,121.226221,30.723894
苍南,2.171211798,120.440769,27.544947
泗门,2.165673311,121.07605,30.193493
鞋塘,2.159251152,119.854787,29.229185
梅岙,2.133637648,120.579971,28.117845
箫江,2.11222366,120.466111,27.574669
碧湖(南山),2.110695355,119.798984,28.331143
湖门,2.066683205,120.057933,29.405394
瓜沥付,2.042227296,120.455685,30.201633
嘉善付,2.039675692,120.95717,30.802686
三门,2.033270101,121.317686,29.087286
丽水北,2.023883674,119.876904,28.483893
长兴北,2.010770795,119.949091,31.114372
瓜沥,2.008741915,120.45711,30.1997
藻溪付,1.994021637,119.510414,30.207038
东关,1.974233234,120.807979,30.012998
桐乡西,1.969927401,120.344399,30.620944
诸暨东,1.961395007,120.314737,29.723718
仙居下各,1.948561728,120.86282,28.874407
观海卫,1.947857793,121.447509,30.191998
台州南,1.928384088,121.255001,28.557033
上虞,1.928144875,120.912928,30.056517
玉环,1.919887598,121.274551,28.179771
牟山,1.89068169,120.98976,30.066297
太阳,1.853391854,119.316064,30.187837
临海城西,1.830678489,121.058857,28.879011
永嘉南,1.824583392,120.695277,28.090405
杜桥,1.812895161,121.478142,28.738114
沿江,1.801556932,121.305442,28.74025
飞云,1.793955276,120.605474,27.785717
牌头,1.789538697,120.144724,29.614924
章镇,1.772861817,120.853577,29.824659
七里港,1.758383427,120.893112,28.012669
天台,1.728228178,121.011104,29.159531
横店,1.698376418,120.385748,29.16432
姚庄,1.674322228,120.982735,30.940432
新塍,1.663504488,120.603174,30.82098
观美,1.656221783,120.360901,27.480284
青山,1.641612074,120.063715,30.698995
新桥(象山),1.59566547,121.830704,29.310352
义亭,1.590074976,119.968207,29.226777
苏溪,1.589212628,120.155979,29.391019
塘栖,1.562379433,120.163983,30.46626
塘溪,1.553844118,121.71162,29.686422
临海白水洋,1.545362829,120.916907,28.884128
坎红路,1.544307519,120.407766,30.226224
温溪,1.495949114,120.366917,28.139115
窑上,1.489920062,118.360914,28.82031
父子岭,1.475531847,119.903082,31.227609
雁荡,1.46866998,121.151338,28.348261
大隐,1.463783834,121.39715,29.944249
蒿坝,1.447486345,120.854277,29.981861
龙坞,1.438697485,120.064056,30.19751
马家浜,1.437412823,120.713351,30.722274
郑家坞,1.43580921,120.086397,29.507116
兰溪,1.405756977,119.536026,29.140798
双彩,1.398807457,120.881586,29.323596
次坞,1.384777117,120.219251,29.900818
东案,1.376739682,118.654471,28.983113
芳村,1.366053036,118.598129,29.041022
潘桥,1.361024158,120.558281,27.923064
永嘉,1.353574626,120.758356,28.162722
开化南,1.347264984,118.403576,29.089927
瓯北,1.337297778,120.617071,28.077567
大隐付,1.328415891,121.395724,29.944512
北界,1.325771259,119.239986,28.755021
练市,1.303205505,120.425354,30.695791
桐乡,1.274437934,120.558762,30.538918
颊口,1.272167043,119.040509,30.132584
白果,1.267259184,119.001693,30.09768
织里,1.24580326,120.284042,30.893524
海口,1.242574096,120.079677,28.320294
雷甸,1.232965499,120.180764,30.499293
西塘,1.219463257,120.911814,30.924148
党湾,1.214909352,120.566604,30.24167
新安,1.210390885,120.221673,30.543895
景宁,1.208941603,119.641547,27.996196
慈城,1.204587756,121.423048,30.006515
蔡宅,1.200634896,120.464269,29.391677
凤桥,1.190638098,120.935538,30.639323
丽水(西),1.186354415,119.879086,28.44809
南塘,1.184626766,121.125198,28.1436
滨海新城北付,1.182177048,120.78383,30.205146
场口,1.146777963,119.877056,29.910195
七都,1.141993704,120.783482,28.004227
歌山,1.119882751,120.404127,29.273533
荆谷,1.116229585,120.496316,27.785628
九峰,1.113340777,119.870453,30.252144
分水关,1.112526214,120.264698,27.437742
长乐,1.090995487,120.640813,29.455423
王店付,1.085186169,120.715949,30.645582
金塘,1.060989116,121.908412,30.059998
长安,1.056426351,120.441138,30.480751
屠甸,1.049285402,120.644047,30.583068
沙门,1.035552807,121.231796,28.143499
龙游北,1.007990161,119.156067,29.145676
新路湾,1.006527976,119.279727,28.698358
绍兴南,1.003702047,120.576279,29.930933
新市,1.002514842,120.271717,30.569677
马渚,0.999458233,121.067337,30.081907
浙皖主线,0.992029342,119.582331,30.9245
杨村桥,0.986709069,119.447297,29.572638
南北湖,0.9863281,120.872675,30.51358
盐官,0.974042569,120.555627,30.421194
杨林,0.973319937,118.159255,29.065364
阳明,0.951451374,121.087502,30.117561
新湾,0.944970841,120.553255,30.308769
洋头,0.942166734,121.172335,29.087398
濮院,0.931707813,120.554558,30.744779
安吉北,0.912287266,119.689831,30.758601
浙苏主线,0.91180441,120.437075,30.909817
温岭东,0.893585993,121.520554,28.371668
双峰,0.876750354,120.460433,28.926675
独山,0.874022056,121.155785,30.690725
临海南,0.865915395,121.248876,28.787962
长兴,0.85966928,119.954813,31.031433
上浦,0.857619282,120.839922,29.90263
屠甸付,0.846158179,120.643227,30.58338
常山,0.833284979,118.51403,28.927839
百步,0.825910363,120.764905,30.561917
佛堂,0.824042983,120.007707,29.228881
台州东(椒江),0.818196844,121.512222,28.626667
缙云,0.814905532,120.068188,28.626499
江山,0.811029316,118.681842,28.761898
舟山,0.807573417,122.010037,30.054467
牟山付,0.806067862,120.990862,30.066948
