Name,Importance,lat,lng
10228,1.748082442,26.96283648,-82.21131389
10350,1.334932237,26.91652396,-82.0119332
10367,0.424752604,26.82794281,-81.96833455
20044,1.064314572,28.72561814,-82.55264101
20324,0.98376546,28.85167933,-82.49090098
30094,1.994978963,26.12383011,-81.76320364
30143,0.409638013,26.47923546,-81.43455465
30270,0.211576682,25.86474096,-81.11085546
30351,0.412623667,26.15306465,-81.54305956
39950,2.190300174,26.2865724,-81.7426527
40068,0.229758342,27.26222539,-81.98453273
40145,0.34655308,27.24983229,-81.84520356
40271,0.495155716,27.21804099,-81.901451
50272,0.302318256,26.84691357,-81.12282587
70039,0.844870574,26.70937463,-81.56526216
79918,0.744577949,26.75383811,-81.05443817
80283,1.375519072,28.53046547,-82.56802552
80294,0.225873198,28.56155634,-82.3771785
90229,0.138255967,27.4166253,-81.44377809
90327,0.198263486,27.16915063,-81.32856007
100080,0.310184226,28.02052457,-82.17839523
100162,0.617373355,27.95204839,-82.38620984
100276,0.343518954,27.71237003,-82.27579905
100321,1.081301248,28.05441249,-82.43836101
100372,1.245456702,27.99618307,-82.53034555
100373,0.734960749,27.91561461,-82.40184164
109953,2.776998851,27.88979424,-82.3485364
109955,1.23642326,28.13385062,-82.41382171
109962,2.694034539,28.02732157,-82.20379677
110177,0.706008885,28.83074164,-81.82184381
110246,0.29926321,28.85302916,-81.65060473
110262,0.388439172,28.94935865,-81.65791252
120184,2.173462926,26.53246328,-81.79467163
120203,1.158952659,26.60528822,-81.82628202
120273,0.502853831,26.75734839,-81.7608545
130146,0.413241633,27.47478671,-82.32371462
130180,0.631683033,27.52401734,-82.5144395
130333,1.076510163,27.44593897,-82.47930701
140079,0.953494038,28.45127495,-82.1868697
140190,2.085949554,28.20685182,-82.37672276
140199,1.257463839,28.23536763,-82.72820116
150066,0.971019945,27.83561166,-82.83519452
150086,0.641118696,27.87287643,-82.60586165
150183,1.251059309,27.67823849,-82.67804021
150295,0.872069222,27.80188594,-82.67945533
150302,0.621817925,27.91616138,-82.71109335
160230,0.186417803,28.22129744,-81.82057002
160274,0.575310922,27.93313609,-81.97395198
160275,0.32544249,28.07886313,-81.66682536
160310,1.304429085,28.18515226,-81.63974931
160319,0.267157942,27.67041215,-81.82221133
169927,0.409123592,28.0531937,-82.00488214
169948,1.319514846,27.87932828,-81.59726221
169951,1.822722076,28.15741588,-81.81214718
170181,0.695211871,27.2377191,-82.50247075
170225,2.411772391,27.28326385,-82.44852738
180358,1.102773475,28.67491896,-82.13879952
260043,0.169041901,29.7233567,-82.35405515
260185,0.584959183,29.67028708,-82.29912985
260231,0.097551736,29.61400105,-82.59109638
260323,0.593951396,29.62323747,-82.37254244
269904,1.355240448,29.5430444,-82.33174943
270232,0.238518539,30.36126106,-82.1337753
289963,1.435279119,29.84037498,-82.16273969
290037,0.15735783,30.20130245,-82.77668684
290269,0.460984568,30.24501205,-82.66742514
290286,0.612903416,30.20733645,-82.63743428
290297,0.065955066,29.89435029,-82.7279942
290320,2.466578528,30.21798185,-82.708469
299936,1.001838533,30.25135656,-82.51492735
300234,0.064698048,29.68783656,-82.98429256
320112,2.14379674,30.59936473,-83.12454439
320202,0.047944113,30.60185459,-83.01498903
320277,0.038488083,30.49011157,-83.13262157
329956,2.077009547,30.53374162,-83.07008981
330149,0.326015809,29.95090652,-82.9535458
330237,0.017237895,29.94489594,-83.26338033
340116,0.642594079,29.56025545,-82.9061968
340239,0.121310835,29.23917009,-82.9318986
340278,2.19119309,29.4677402,-82.67084013
349909,0.796926245,29.55086427,-82.90041971
350279,0.416406997,30.47058784,-83.4229302
359902,0.49100493,30.38868517,-83.32786357
360118,1.407027943,29.2706882,-82.15188773
360249,0.672463585,29.14732372,-82.06978592
360264,1.614386634,29.21144329,-82.06466666
360317,1.900164037,29.12415839,-82.18468275
370238,0.591924714,30.31182277,-82.93351059
370241,0.19229428,30.14354108,-82.95159255
370242,0.152905572,29.96905633,-82.90005882
380280,0.087584795,30.14403512,-83.95424049
460166,0.565784861,30.22209704,-85.88880579
460192,0.185918742,30.43581503,-85.4463024
460305,2.81023383,30.18814427,-85.75244182
460308,1.284352041,30.20728163,-85.64953198
460315,0.268956425,30.16546211,-85.66027061
460359,0.620196254,30.49418202,-85.41595641
469907,0.702240333,30.39718312,-85.43502531
470173,0.218312362,30.44317925,-85.03621822
470328,0.151241546,30.23002495,-85.2057634
470337,0.079282797,30.51275675,-85.12270697
470365,0.111391574,30.57102975,-85.0217769
480048,0.180686448,30.52907777,-87.43048123
480156,0.932148971,30.52638532,-87.32270928
480243,0.104707677,30.97828956,-87.49043047
480282,1.13461871,30.47517079,-87.21796816
480325,0.251292413,30.39987517,-87.42249228
480348,0.386659615,30.94711919,-87.28597296
480368,1.450642916,30.46189961,-87.2254553
489949,1.179723833,30.50919744,-87.2908091
490060,0.217896264,29.91586541,-84.52322202
490369,0.123994442,29.76079729,-84.83300934
500054,0.2841193,30.68268035,-84.38263004
500220,0.625531071,30.53057691,-84.5458892
500281,0.033566544,30.6979523,-84.62452323
509940,0.181539697,30.55475051,-84.59273118
510313,0.176059118,29.86160629,-85.24369768
510316,0.144472283,29.77652025,-85.27666687
520364,0.052043518,30.96487749,-85.59684503
530050,0.584022214,30.98902903,-85.40766554
530117,0.742039728,30.77754787,-85.23643017
