Name,Importance,lng,lat
崇阳东,0.880045439,114.21,29.5746
江陵,0.860916877,112.455,30.1044
当阳北,0.858437182,111.67,30.8622
榔坪,0.826065372,110.528,30.6203
黄陂北,0.809947613,114.534,30.9865
北港,0.798750383,113.695,29.3036
白马寺,0.757563379,112.555872,30.092894
白浒山,0.749021493,114.581,30.5572
三江港,0.74746773,114.811,30.5365
来凤,0.738246899,109.458,29.5582
高岚,0.73817113,110.932,31.2039
黄沙铺,0.69434872,114.699,29.7299
松滋西,0.658801131,111.634,30.2023
华容,0.655889354,114.768,30.5248
鲍峡,0.649543586,110.348,32.707
寺坪,0.648655345,111.133,31.9979
赤壁,0.635449355,113.862,29.7297
晓关,0.622526124,109.33,29.8834
大洪山东,0.599773439,113.092,31.6281
大别山,0.594292779,115.488,30.7949
关庙,0.581195659,113.682,31.678
浠水北,0.564425585,115.374,30.5948
白桑关,0.548020147,110.992,32.9622
河铺,0.535419821,115.383,31.1373
华蒲,0.526461591,114.756,30.4802
宋河,0.517230316,113.283,31.1732
河口,0.491041091,114.442,31.3455
芳畈,0.464761589,114.118,31.4274
赤壁南,0.457644501,113.811,29.648
垌冢,0.449084385,113.443,30.7725
应城北,0.44106801,113.586,31.0468
均川,0.438920624,113.277,31.6709
白果,0.369700188,109.284,30.2035
五里牌,0.330254698,113.789,29.2096
店垭,0.322316278,111.344,31.4502
三里岗,0.304776447,113.195,31.4488
官山,0.298653681,110.895,32.3955
咸丰西,0.28269224,109.039,29.6068
三阳,0.280966636,113.251,31.3333
枫林,0.263758051,115.404,29.7577
大薤山,0.255173951,111.334,32.1498
洪港,0.24829213,114.861,29.5053
军店,0.227346324,110.609,32.0649
蒋家堰,0.158793775,109.604,32.3259
车溪,0,111.149,30.6674
沉湖,0,113.51,30.4434
陈安,0,112.347,31.2825
陈贵,0,114.808,30.0195
乘马岗,0,114.923,31.3176
鄂北,0,114.2,31.7206
恩施西,0,109.495,30.2341
淮河,0,113.511,32.3158
黄花涝武汉,0,114.211971,30.740383
黄集,0,112.117,32.3139
黄龙,0,110.566,32.6984
黄梅,0,115.924,30.0437
灵乡,0,114.202,30.7202
陵园,0,114.334,30.8281
刘洞,0,111.146,33.1324
柳林,0,113.209,31.5762
六里坪,0,110.983,32.5442
龙感湖,0,115.966,29.9169
龙港,0,114.948,29.6074
龙王,0,111.977,32.2375
隆中,0,112.081,32.0114
路口,0,114.785,30.3853
罗田,0,115.372,30.7423
洛阳店,0,113.447,31.4619
麻城,0,114.946,31.153
麻城东,0,115.076,31.2159
马曹庙,0,115.016,30.6617
马桥,0,114.374,29.8201
毛嘴,0,113.039,30.4047
茅坪,0,110.981,30.8065
梅川,0,115.545,30.1751
庙岭,0,114.628,30.4474
木子店,0,115.391,31.2159
南林桥,0,114.357,29.591
南平,0,112.067,29.8986
南营,0,112.282,31.7918
南漳,0,111.867,31.8067
藕池,0,112.277,29.7652
排市,0,115.064,29.7227
盘龙城,0,114.239,30.7506
平林,0,112.684,31.7257
蒲团,0,114.741,30.4117
普济,0,112.5349,29.97712
潜江,0,112.904,30.3803
青峰,0,110.97,32.0481
青龙,0,114.41,30.7207
青曲,0,110.634,32.8805
三溪,0,114.973,29.836
沙市,0,112.353,30.3605
上津,0,110.143,33.191
申津渡,0,111.94,30.0104
施岗,0,114.587,30.7114
石城,0,113.928,29.4283
石花,0,111.466,32.3002
石牌,0,112.478,30.9981
石首,0,112.371,29.6809
双莲,0,111.639,30.7513
双溪,0,114.509,29.9149
松滋南,0,111.76,30.141
随州东,0,113.511,31.6555
随州南,0,111.055,31.6454
天河口,0,113.405,32.1867
汀祖,0,114.949,30.2775
通城西,0,113.77,29.2677
土城,0,110.754,32.222
土关垭,0,111.367,32.4328
汪营,0,108.751,30.2605
王城,0,112.94,31.9505
王家畈,0,111.366,30.2078
伍家岗,0,111.375,30.6587
武东,0,114.482,30.4772
雾渡河,0,111.222,31.1086
峡口,0,111.511,31.3337
夏店,0,114.338,31.4056
仙桃,0,113.437,30.3497
仙桃北,0,113.541,30.3863
湘口,0,113.871,30.2624
襄阳北,0,112.226,32.1794
襄阳南,0,112.081,31.9444
向阳湖,0,114.164,29.9652
小军山,0,114.149,30.4005
孝感北,0,113.948,31.0494
歇马,0,111.269,31.5999
辛榨,0,113.648,31.1146
新店,0,113.725,29.6225
新沟,0,113.04,30.1072
新桥,0,114.63,30.5395
新滩,0,113.87,30.1778
兴山,0,110.761,31.1817
宣恩,0,109.456,30.0265
丫角,0,112.53,30.3399
烟店,0,113.594,31.326
沿渡河,0,110.282,31.1676
燕窝,0,113.958,30.0647
阳逻,0,114.583,30.6515
杨柳,0,115.76,30.8045
杨寨,0,114.02,31.4895
窑淮,0,110.446,32.1288
宜昌,0,111.339,30.7218
宜昌北,0,111.383,30.8562
宜昌桥北,0,111.41,30.5755
宜城,0,112.206,31.7587
宜城北,0,112.184,31.7241
殷祖,0,114.902,29.9687
隐水洞,0,114.643,29.671
应城西,0,113.51,30.9142
永佳河,0,114.743,31.1023
永兴,0,112.613,30.3058
渔洋关,0,111.119,30.1842
远安北,0,111.562,31.1863
岳口,0,113.105,30.5289
张金,0,112.602,30.2293
长坪,0,111.546,31.7728
长阳,0,111.248,30.5363
枝城,0,111.495,30.2566
中法城,0,114.139,30.543
珠玑,0,113.098,30.4136
秭归港,0,110.959,30.8541
总路咀,0,115.061,30.7023
