SITE ID,Longitude,Latitude
雾渡河,111.222,31.1086
西湖,114.079,30.7195
浠水,115.385,30.474
浠水北,115.374,30.5948
峡口,111.511,31.3337
夏店,114.338,31.4056
仙桃,113.437,30.3497
仙桃北,113.541,30.3863
仙桃东,113.566,30.3283
咸丰东,109.167,29.6983
咸丰西,109.039,29.6068
咸宁北,114.288,29.9705
咸宁东,114.39,29.9053
咸宁南,114.206,29.8839
湘口,113.871,30.2624
襄阳北,112.226,32.1794
襄阳东,112.365,32.1554
襄阳南,112.081,31.9444
襄阳西,112.088,32.0988
向明河,115.383,31.1373
向阳湖,114.164,29.9652
猇亭,0,0
小池,115.988,29.8086
小河,114.064,31.3359
小军山,114.149,30.4005
晓关,109.33,29.8834
孝昌,114.089,31.1918
孝感北,113.948,31.0494
歇马,111.269,31.5999
辛榨,113.648,31.1146
新店,113.725,29.6225
新沟,113.04,30.1072
新桥,114.63,30.5395
新滩,113.87,30.1778
新洲,114.89,30.8697
兴山,110.761,31.1817
徐家堡,114.172,30.4428
宣恩,109.456,30.0265
丫角,112.53,30.3399
鸦南,111.6,30.6295
鸦鹊岭,111.529,30.6975
烟店,113.594,31.326
沿渡河,110.282,31.1676
燕窝,113.958,30.0647
阳逻,114.583,30.6515
阳新,115.247,29.717
杨店,112.339,30.243
杨柳,115.76,30.8045
杨寨,114.02,31.4895
窑淮,110.446,32.1288
宜昌,111.339,30.7218
宜昌北,111.383,30.8562
宜昌桥北,111.41,30.5755
宜城,112.206,31.7587
宜城北,112.184,31.7241
宜城南,112.237,31.6665
宜都,111.407,30.3844
宜都北,111.394,30.545
殷祖,114.902,29.9687
隐水洞,114.643,29.671
英山,115.657,30.7587
应城,113.591,30.8709
应城北,113.586,31.0468
应城西,113.51,30.9142
永安,113.97,30.4632
永丰,114.158,30.6817
永佳河,114.743,31.1023
永兴,112.613,30.3058
渔洋关,111.119,30.1842
禹王,114.922,30.5702
育溪,111.961,30.8372
峪山,111.099,32.0058
远安,111.625,30.9905
远安北,111.562,31.1863
岳口,113.105,30.5289
云梦,113.78,31.1097
郧西,110.404,33.0228
郧县,110.755,32.795
郧阳南,110.898,32.7978
枣阳,112.776,32.0205
张公,114.321,29.933
张金,112.602,30.2293
张湾,110.708,32.6739
章庄铺,119.913,29.883
长坪,111.546,31.7728
长青,114.114,30.6164
长阳,111.248,30.5363
枝城,111.495,30.2566
枝江,111.76,30.4954
中法城,114.139,30.543
中洲,11.4865,30.6382
钟祥,112.627,31.022
朱河,113.106,29.7385
珠玑,113.098,30.4136
竹山,110.218,32.2191
竹溪,109.769,32.3111
秭归港,110.959,30.8541
总路咀,115.061,30.7023
